,areaCd,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
147,0105015,8,8,-1,OLD,20233075,신체모음.zip,2023-08-30,1001000,1.9,-3276900,-76.6,17385600,104,-329,-76,1914,14,25
148,0105015,9,9,0,OLD,20232629,마야 3: 숲속 왕국의 위기,2023-08-24,788500,1.5,-1592400,-66.9,20488700,86,-155,-64.3,2502,9,9
149,0105015,10,10,0,NEW,20124048,9월이 오면, ,190000,0.4,190000,100,2250000,58,58,100,1087,1,3
150,0105016,1,1,0,OLD,20233014,타겟,2023-08-30,8969526,26.3,-19764662,-68.8,112313250,967,-2006,-67.5,12160,32,136
151,0105016,2,2,0,OLD,20226500,달짝지근해: 7510,2023-08-15,7345263,21.6,-16139246,-68.7,442314362,800,-1645,-67.3,46451,30,107
152,0105016,3,3,1,OLD,20204264,콘크리트 유토피아,2023-08-09,5012417,14.7,-12886075,-72,1171441907,538,-1355,-71.6,123813,33,106
153,0105016,4,4,-1,OLD,20226431,오펜하이머,2023-08-15,5333193,15.7,-17600230,-76.7,780811399,535,-1656,-75.6,73979,35,96
154,0105016,5,5,1,OLD,20218541,밀수,2023-07-26,2477739,7.3,-5086477,-67.2,1694038649,269,-493,-64.7,180125,18,47
155,0105016,6,6,-1,OLD,20228930,엘리멘탈,2023-06-14,2272928,6.7,-7361111,-76.4,2122185252,245,-754,-75.5,220274,12,21
156,0105016,7,7,0,OLD,20233075,신체모음.zip,2023-08-30,986000,2.9,-2796400,-73.9,13648800,93,-319,-77.4,1496,11,22
157,0105016,8,8,0,OLD,20223831,스파이 코드명 포춘,2023-08-30,612239,1.8,-2388961,-79.6,12482066,67,-277,-80.5,1380,13,22
158,0105016,9,9,0,OLD,20232629,마야 3: 숲속 왕국의 위기,2023-08-24,253000,0.7,-940000,-78.8,9384000,33,-87,-72.5,1053,4,4
159,0105016,10,10,3,OLD,20233121,치치치 치킨의 비밀,2023-08-24,140500,0.4,-181500,-56.4,2814000,17,-17,-50,331,2,2
160,0105017,1,1,0,OLD,20226431,오펜하이머,2023-08-15,1530895,26.0,-4169977,-73.1,201933231,157,-418,-72.7,20149,5,19
161,0105017,2,2,1,OLD,20228930,엘리멘탈,2023-06-14,891900,15.2,-2364490,-72.6,611409174,99,-219,-68.9,63051,1,5
162,0105017,3,3,2,OLD,20233014,타겟,2023-08-30,940228,16.0,-1675192,-64.1,13601603,97,-153,-61.2,1440,5,15
163,0105017,4,4,-1,OLD,20226500,달짝지근해: 7510,2023-08-15,960156,16.3,-2354645,-71,63967851,96,-222,-69.8,6384,5,15
164,0105017,5,5,-3,OLD,20204264,콘크리트 유토피아,2023-08-09,880639,15.0,-2428772,-73.4,218952081,93,-233,-71.5,22361,4,16
165,0105017,6,6,0,OLD,20233075,신체모음.zip,2023-08-30,268500,4.6,-400500,-59.9,2423700,28,-50,-64.1,279,1,4
166,0105017,7,7,0,OLD,20218541,밀수,2023-07-26,227500,3.9,-371795,-62,287926965,23,-41,-64.1,29203,3,4
167,0105017,8,8,1,OLD,20232629,마야 3: 숲속 왕국의 위기,2023-08-24,91000,1.5,-189000,-67.5,2572000,13,-25,-65.8,304,1,1
168,0105017,9,9,-1,OLD,20223831,스파이 코드명 포춘,2023-08-30,91500,1.6,-393500,-81.1,1610906,10,-32,-76.2,164,3,7
